model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Jet,4000,85,476,97,7385,4442,4690,2910,22450,13700,665,641,2300,5100000
100 Darter (S.L. Industries),Jet,3650,473,169,97,7385,1520,5150,2900,22000,12775,665,641,2345,5100000
"T 210 K,L Turbo (K=9 mph less speed)",Jet,3650,472,461,97,7384,3699,5030,2900,22000,11811,666,642,2600,5100000
100 Darter (S.L. Industries),Jet,3650,472,169,89,7384,3909,4710,2560,21000,11720,666,642,2600,5100000
T 210 F Turbo Centurion,Jet,3786,76,429,82,6590,3090,3460,3315,19200,11310,622,668,2027,
100 Darter (S.L. Industries),Jet,3400,755,427,83,5440,4500,1706,1525,16830,9977,585,649,1970,4500000
"210 M,NII (prior'78=less svc. ceil. & r/o/c=860)",Jet,3045,76,430,82,5771,4230,3180,2800,16300,9550,587,626,1960,
210 F Centurion,Jet,2887,70,401,86,4860,3195,3600,3180,14800,8925,566,626,1900,
100 Darter (S.L. Industries),Jet,2500,177,403,82,5820,3000,3240,3050,15000,8049,566,626,2104,4300000
100 Darter (S.L. Industries),Jet,2500,177,385,82,5008,3370,2990,2270,13300,7388,566,626,1930,4300000
T 207 (Stationair 7 & 8) '77=eng 310 hp,Jet,2500,177,385,82,5009,3625,2650,2210,12500,7181,566,626,2104,4300000
100 Darter (S.L. Industries),Jet,2820,737,351,56,4710,2460,1706,2770,13870,8300,602,640,1875,4500000
"U206E,F, float ('75-'76 specs) '76=+4 gal fuel",Jet,1900,71,380,85,3220,3311,3080,2750,10400,6550,510,560,1485,4100000
"TU 206E,F (ski) (prior'76=4 gal more fuel)",Jet,2200,177,357,82,3807,2719,2930,2270,11850,6631,522,565,1325,4100000
"U206 E,F (ski) Super Skywagon",Jet,2200,177,351,56,3780,2680,2930,2270,11850,6684,522,565,1325,4100000
100 Darter (S.L. Industries),Jet,2200,177,348,85,3780,2900,2660,2300,11500,6454,522,527,1308,4100000
"TU 206E,F Stationair",Jet,2200,177,348,84,3618,2900,2550,2310,10850,6350,522,525,1064,3500000
100 Darter (S.L. Industries),Propjet,625,295,283,76,475,2435,2465,1875,9850,5682,468,592,2193,3500000
"U206 F,G II ('75 up) '75 lgt=28/9 + prior'79 less fuel)",Propjet,450,263,169,84,366,1861,2490,2150,8600,4948,430,529,1248,3340000
100 Darter (S.L. Industries),Propjet,450,263,250,79,366,2027,2341,2145,8200,4915,430,529,1461,3470000
U 206 A,Piston,375,257,241,74,213,1940,2323,2293,7450,5048,437,493,1197,3020000
100 Darter (S.L. Industries),Piston,375,245,235,74,175,1850,2387,2178,7450,4426,433,501,845,3100000
"TP 206A,B,C,D,E (E=35/10 span) (A=28/0 lgt)",Piston,375,240,227,76,175,1700,2516,2110,6840,4252,404,477,826,2600000
100 Darter (S.L. Industries),Piston,375,240,222,76,170,1700,2516,2110,6800,4237,401,477,826,2600000
206H Stationair,Piston,310,235,224,72,213,1520,2595,2393,6750,4543,436,529,1099,3080000
100 Darter (S.L. Industries),Piston,310,239,224,70,102,1580,2350,1865,6350,4039,405,479,1090,3010000
P 206 Super Skylane,Piston,340,231,214,72,175,1900,2010,1851,6500,3865,401,477,908,2600000
100 Darter (S.L. Industries),Piston,375,232,217,70,348,1575,2367,2130,8400,4965,474,556,553,2600000
195 B,Piston,325,230,213,68,213,1450,2195,2485,6850,4238,436,529,875,2690000
100 Darter (S.L. Industries),Piston,300,229,210,70,102,1610,2220,1765,6300,4038,433,479,1180,2618000
195,Piston,300,227,209,69,102,1610,2220,1765,6300,3719,428,477,833,2618000
100 Darter (S.L. Industries),Piston,300,227,209,69,102,1610,2220,1765,6300,3674,404,477,1102,2618000
T 188C Ag Husky (prior'81=4 mph less),Piston,310,243,229,71,102,1650,2175,1850,5990,4184,412,457,1106,2980000
100 Darter (S.L. Industries),Piston,285,226,210,71,102,1500,2430,1840,5975,3730,412,457,1258,2650000
A188B Ag Wagon ('79 & up) dispersal sys,Piston,300,230,215,71,102,1400,2365,1850,5990,3963,412,457,928,2680000
100 Darter (S.L. Industries),Piston,285,239,226,64,102,1924,1515,1734,5300,3273,354,441,735,2900000
A188 Ag Wagon restricted (prior'77=7/10 hgt),Piston,260,229,213,63,102,1820,1584,1910,5200,3260,354,441,735,2810000
100 Darter (S.L. Industries),Piston,260,230,204,68,102,1820,1890,2056,4990,3190,353,441,740,2810000
188 Ag Pickup fixed-prop ('72) restricted,Piston,285,237,223,70,102,1700,1662,1790,5500,3723,383,443,517,2740000
100 Darter (S.L. Industries),Piston,285,238,225,67,102,1790,1662,1790,5500,3292,354,441,807,2820000
"188A,B Ag Wagon ('67-'71) fixed-prop normal",Piston,285,239,226,66,102,1862,1590,1790,5400,3292,351,441,807,2860000
100 Darter (S.L. Industries),Piston,285,207,194,70,102,1662,1700,1790,5500,3603,383,443,661,1975000
A185 F (float) (prior '79 = 4-8 gal less fuel),Piston,260,205,192,63,102,1495,1795,1697,5300,3214,354,441,680,1950000
A185 F II Skywagon (prior '81=less perform),Piston,260,206,193,62,102,1540,1716,1673,5200,3170,350,441,676,1990000
100 Darter (S.L. Industries),Piston,260,206,193,65,102,1540,1716,1582,5200,3125,353,443,676,1990000
185 E Skywagon,Piston,260,207,194,65,102,1590,1640,1540,5100,3094,354,443,687,2030000
100 Darter (S.L. Industries),Piston,260,209,194,65,102,1690,1545,1900,5100,3063,353,449,687,2110000
R182 II RG Turbo Skylane,Piston,260,210,191,73,102,1800,1395,1720,4990,3049,353,441,678,2130000
100 Darter (S.L. Industries),Piston,240,191,178,71,102,1700,1375,1710,4600,2850,325,433,640,1950000
T-182R II Turbo Skylane,Piston,250,216,180,62,155,1480,1750,1450,5000,3305,365,466,835,2500000
100 Darter (S.L. Industries),Piston,225,211,204,62,150,1170,1500,1675,4700,3184,358,458,939,2000000
182T Skylane,Piston,210,207,200,62,90,1160,1675,1650,4630,3038,358,458,1080,2000000
100 Darter (S.L. Industries),Piston,210,200,194,61,93,1105,1675,1650,4630,2850,358,458,920,2930000
182R II (1981 & up),Piston,210,201,195,61,93,1155,1595,1650,4500,2815,358,456,920,3010000
100 Darter (S.L. Industries),Piston,210,201,195,59,93,1155,1595,1520,4500,2795,358,456,920,3010000
